,Year,Movie,Oscar_nominee,Oscar_winner,Predicted Win Rate
4,2015,The Revenant,1,0,0.46
9,2015,Spotlight,1,1,0.16
14,2015,The Big Short,1,0,0.12
1,2015,Mad Max: Fury Road,1,0,0.1
13,2015,Room,1,0,0.03
56,2015,Carol,0,0,0.02
11,2015,Sicario,0,0,0.02
45,2015,Pitch Perfect 2,0,0,0.01
90,2015,Beasts of No Nation,0,0,0.01
49,2015,Crimson Peak,0,0,0.01
